wait_time_id,reporting_level,province,region,indicator,metric,data_year,unit_of_measurement,indicator_result
64,Provincial,British Columbia,Provincial,Colorectal Cancer Surgery,50th Percentile,2008,Days,
65,Provincial,British Columbia,Provincial,Colorectal Cancer Surgery,90th Percentile,2008,Days,
66,Provincial,British Columbia,Provincial,Colorectal Cancer Surgery,Volume,2008,Number of cases,
67,Provincial,British Columbia,Provincial,CT Scan,50th Percentile,2008,Days,
68,Provincial,British Columbia,Provincial,CT Scan,90th Percentile,2008,Days,
69,Provincial,British Columbia,Provincial,CT Scan,Volume,2008,Number of cases,
70,Provincial,British Columbia,Provincial,Hip Fracture Repair,% Meeting Benchmark,2008,Proportion,
71,Provincial,British Columbia,Provincial,Hip Fracture Repair,50th Percentile,2008,Hours,
72,Provincial,British Columbia,Provincial,Hip Fracture Repair,90th Percentile,2008,Hours,
73,Provincial,British Columbia,Provincial,Hip Fracture Repair,Volume,2008,Number of cases,
74,Provincial,British Columbia,Provincial,Hip Fracture Repair/Emergency And Inpatient,% Meeting Benchmark,2008,Proportion,
75,Provincial,British Columbia,Provincial,Hip Fracture Repair/Emergency And Inpatient,50th Percentile,2008,Hours,
76,Provincial,British Columbia,Provincial,Hip Fracture Repair/Emergency And Inpatient,90th Percentile,2008,Hours,
77,Provincial,British Columbia,Provincial,Hip Fracture Repair/Emergency And Inpatient,Volume,2008,Number of cases,
78,Provincial,British Columbia,Provincial,Hip Replacement,% Meeting Benchmark,2008,Proportion,78.0
79,Provincial,British Columbia,Provincial,Hip Replacement,50th Percentile,2008,Days,71.0
80,Provincial,British Columbia,Provincial,Hip Replacement,90th Percentile,2008,Days,279.0
81,Provincial,British Columbia,Provincial,Hip Replacement,Volume,2008,Number of cases,2192.0
82,Provincial,British Columbia,Provincial,Knee Replacement,% Meeting Benchmark,2008,Proportion,71.0
83,Provincial,British Columbia,Provincial,Knee Replacement,50th Percentile,2008,Days,102.0
84,Provincial,British Columbia,Provincial,Knee Replacement,90th Percentile,2008,Days,332.0
85,Provincial,British Columbia,Provincial,Knee Replacement,Volume,2008,Number of cases,3130.0
86,Provincial,British Columbia,Provincial,Lung Cancer Surgery,50th Percentile,2008,Days,
87,Provincial,British Columbia,Provincial,Lung Cancer Surgery,90th Percentile,2008,Days,
88,Provincial,British Columbia,Provincial,Lung Cancer Surgery,Volume,2008,Number of cases,
89,Provincial,British Columbia,Provincial,MRI Scan,50th Percentile,2008,Days,
90,Provincial,British Columbia,Provincial,MRI Scan,90th Percentile,2008,Days,
91,Provincial,British Columbia,Provincial,MRI Scan,Volume,2008,Number of cases,
92,Provincial,British Columbia,Provincial,Prostate Cancer Surgery,50th Percentile,2008,Days,
93,Provincial,British Columbia,Provincial,Prostate Cancer Surgery,90th Percentile,2008,Days,
94,Provincial,British Columbia,Provincial,Prostate Cancer Surgery,Volume,2008,Number of cases,
95,Provincial,British Columbia,Provincial,Radiation Therapy,% Meeting Benchmark,2008,Proportion,95.0
96,Provincial,British Columbia,Provincial,Radiation Therapy,50th Percentile,2008,Days,7.0
97,Provincial,British Columbia,Provincial,Radiation Therapy,90th Percentile,2008,Days,
98,Provincial,British Columbia,Provincial,Radiation Therapy,Volume,2008,Number of cases,
99,National,Canada,Provincial,Bladder Cancer Surgery,50th Percentile,2008,Days,
100,National,Canada,Provincial,Bladder Cancer Surgery,90th Percentile,2008,Days,
101,National,Canada,Provincial,Bladder Cancer Surgery,Volume,2008,Number of cases,
102,National,Canada,Provincial,Breast Cancer Surgery,50th Percentile,2008,Days,
103,National,Canada,Provincial,Breast Cancer Surgery,90th Percentile,2008,Days,
104,National,Canada,Provincial,Breast Cancer Surgery,Volume,2008,Number of cases,
105,National,Canada,Provincial,CABG,% Meeting Benchmark,2008,Proportion,
106,National,Canada,Provincial,CABG,50th Percentile,2008,Days,
107,National,Canada,Provincial,CABG,90th Percentile,2008,Days,
108,National,Canada,Provincial,CABG,Volume,2008,Number of cases,
109,National,Canada,Provincial,Cataract Surgery,% Meeting Benchmark,2008,Proportion,
110,National,Canada,Provincial,Cataract Surgery,50th Percentile,2008,Days,
111,National,Canada,Provincial,Cataract Surgery,90th Percentile,2008,Days,
112,National,Canada,Provincial,Cataract Surgery,Volume,2008,Number of cases,
113,National,Canada,Provincial,Colorectal Cancer Surgery,50th Percentile,2008,Days,
114,National,Canada,Provincial,Colorectal Cancer Surgery,90th Percentile,2008,Days,
115,National,Canada,Provincial,Colorectal Cancer Surgery,Volume,2008,Number of cases,
116,National,Canada,Provincial,CT Scan,50th Percentile,2008,Days,
117,National,Canada,Provincial,CT Scan,90th Percentile,2008,Days,
118,National,Canada,Provincial,CT Scan,Volume,2008,Number of cases,
119,National,Canada,Provincial,Hip Fracture Repair,% Meeting Benchmark,2008,Proportion,
120,National,Canada,Provincial,Hip Fracture Repair,50th Percentile,2008,Hours,
121,National,Canada,Provincial,Hip Fracture Repair,90th Percentile,2008,Hours,
122,National,Canada,Provincial,Hip Fracture Repair,Volume,2008,Number of cases,
123,National,Canada,Provincial,Hip Fracture Repair/Emergency And Inpatient,% Meeting Benchmark,2008,Proportion,
124,National,Canada,Provincial,Hip Fracture Repair/Emergency And Inpatient,50th Percentile,2008,Hours,
125,National,Canada,Provincial,Hip Fracture Repair/Emergency And Inpatient,90th Percentile,2008,Hours,
126,National,Canada,Provincial,Hip Fracture Repair/Emergency And Inpatient,Volume,2008,Number of cases,
127,National,Canada,Provincial,Hip Replacement,% Meeting Benchmark,2008,Proportion,
128,National,Canada,Provincial,Hip Replacement,50th Percentile,2008,Days,
129,National,Canada,Provincial,Hip Replacement,90th Percentile,2008,Days,
130,National,Canada,Provincial,Hip Replacement,Volume,2008,Number of cases,
131,National,Canada,Provincial,Knee Replacement,% Meeting Benchmark,2008,Proportion,
132,National,Canada,Provincial,Knee Replacement,50th Percentile,2008,Days,
133,National,Canada,Provincial,Knee Replacement,90th Percentile,2008,Days,
134,National,Canada,Provincial,Knee Replacement,Volume,2008,Number of cases,
135,National,Canada,Provincial,Lung Cancer Surgery,50th Percentile,2008,Days,
136,National,Canada,Provincial,Lung Cancer Surgery,90th Percentile,2008,Days,
137,National,Canada,Provincial,Lung Cancer Surgery,Volume,2008,Number of cases,
138,National,Canada,Provincial,MRI Scan,50th Percentile,2008,Days,
139,National,Canada,Provincial,MRI Scan,90th Percentile,2008,Days,
140,National,Canada,Provincial,MRI Scan,Volume,2008,Number of cases,
141,National,Canada,Provincial,Prostate Cancer Surgery,50th Percentile,2008,Days,
142,National,Canada,Provincial,Prostate Cancer Surgery,90th Percentile,2008,Days,
143,National,Canada,Provincial,Prostate Cancer Surgery,Volume,2008,Number of cases,
144,National,Canada,Provincial,Radiation Therapy,% Meeting Benchmark,2008,Proportion,
145,National,Canada,Provincial,Radiation Therapy,50th Percentile,2008,Days,
146,National,Canada,Provincial,Radiation Therapy,90th Percentile,2008,Days,
147,National,Canada,Provincial,Radiation Therapy,Volume,2008,Number of cases,
148,Provincial,Manitoba,Provincial,Bladder Cancer Surgery,50th Percentile,2008,Days,
149,Provincial,Manitoba,Provincial,Bladder Cancer Surgery,90th Percentile,2008,Days,
150,Provincial,Manitoba,Provincial,Bladder Cancer Surgery,Volume,2008,Number of cases,
151,Provincial,Manitoba,Provincial,Breast Cancer Surgery,50th Percentile,2008,Days,
152,Provincial,Manitoba,Provincial,Breast Cancer Surgery,90th Percentile,2008,Days,
153,Provincial,Manitoba,Provincial,Breast Cancer Surgery,Volume,2008,Number of cases,
154,Provincial,Manitoba,Provincial,CABG,% Meeting Benchmark,2008,Proportion,96.0
155,Provincial,Manitoba,Provincial,CABG,50th Percentile,2008,Days,17.0
156,Provincial,Manitoba,Provincial,CABG,90th Percentile,2008,Days,119.0
157,Provincial,Manitoba,Provincial,CABG,Volume,2008,Number of cases,428.0
158,Provincial,Manitoba,Provincial,Cataract Surgery,% Meeting Benchmark,2008,Proportion,77.0
159,Provincial,Manitoba,Provincial,Cataract Surgery,50th Percentile,2008,Days,75.0
160,Provincial,Manitoba,Provincial,Cataract Surgery,90th Percentile,2008,Days,151.0
161,Provincial,Manitoba,Provincial,Cataract Surgery,Volume,2008,Number of cases,4215.0
162,Provincial,Manitoba,Provincial,Colorectal Cancer Surgery,50th Percentile,2008,Days,
163,Provincial,Manitoba,Provincial,Colorectal Cancer Surgery,90th Percentile,2008,Days,
164,Provincial,Manitoba,Provincial,Colorectal Cancer Surgery,Volume,2008,Number of cases,
165,Provincial,Manitoba,Provincial,CT Scan,50th Percentile,2008,Days,
166,Provincial,Manitoba,Provincial,CT Scan,90th Percentile,2008,Days,
167,Provincial,Manitoba,Provincial,CT Scan,Volume,2008,Number of cases,
168,Provincial,Manitoba,Provincial,Hip Fracture Repair,% Meeting Benchmark,2008,Proportion,
169,Provincial,Manitoba,Provincial,Hip Fracture Repair,50th Percentile,2008,Hours,
170,Provincial,Manitoba,Provincial,Hip Fracture Repair,90th Percentile,2008,Hours,
171,Provincial,Manitoba,Provincial,Hip Fracture Repair,Volume,2008,Number of cases,
172,Provincial,Manitoba,Provincial,Hip Fracture Repair/Emergency And Inpatient,% Meeting Benchmark,2008,Proportion,
173,Provincial,Manitoba,Provincial,Hip Fracture Repair/Emergency And Inpatient,50th Percentile,2008,Hours,
174,Provincial,Manitoba,Provincial,Hip Fracture Repair/Emergency And Inpatient,90th Percentile,2008,Hours,
175,Provincial,Manitoba,Provincial,Hip Fracture Repair/Emergency And Inpatient,Volume,2008,Number of cases,
176,Provincial,Manitoba,Provincial,Hip Replacement,% Meeting Benchmark,2008,Proportion,64.0
177,Provincial,Manitoba,Provincial,Hip Replacement,50th Percentile,2008,Days,139.0
178,Provincial,Manitoba,Provincial,Hip Replacement,90th Percentile,2008,Days,362.0
179,Provincial,Manitoba,Provincial,Hip Replacement,Volume,2008,Number of cases,646.0
180,Provincial,Manitoba,Provincial,Knee Replacement,% Meeting Benchmark,2008,Proportion,52.0
181,Provincial,Manitoba,Provincial,Knee Replacement,50th Percentile,2008,Days,174.0
182,Provincial,Manitoba,Provincial,Knee Replacement,90th Percentile,2008,Days,479.0
183,Provincial,Manitoba,Provincial,Knee Replacement,Volume,2008,Number of cases,1052.0
184,Provincial,Manitoba,Provincial,Lung Cancer Surgery,50th Percentile,2008,Days,
185,Provincial,Manitoba,Provincial,Lung Cancer Surgery,90th Percentile,2008,Days,
186,Provincial,Manitoba,Provincial,Lung Cancer Surgery,Volume,2008,Number of cases,
187,Provincial,Manitoba,Provincial,MRI Scan,50th Percentile,2008,Days,
188,Provincial,Manitoba,Provincial,MRI Scan,90th Percentile,2008,Days,
189,Provincial,Manitoba,Provincial,MRI Scan,Volume,2008,Number of cases,23392.0
190,Provincial,Manitoba,Provincial,Prostate Cancer Surgery,50th Percentile,2008,Days,
191,Provincial,Manitoba,Provincial,Prostate Cancer Surgery,90th Percentile,2008,Days,
192,Provincial,Manitoba,Provincial,Prostate Cancer Surgery,Volume,2008,Number of cases,
193,Provincial,Manitoba,Provincial,Radiation Therapy,% Meeting Benchmark,2008,Proportion,99.0
194,Provincial,Manitoba,Provincial,Radiation Therapy,50th Percentile,2008,Days,5.0
195,Provincial,Manitoba,Provincial,Radiation Therapy,90th Percentile,2008,Days,23.0
196,Provincial,Manitoba,Provincial,Radiation Therapy,Volume,2008,Number of cases,1507.0
197,Provincial,New Brunswick,Provincial,Bladder Cancer Surgery,50th Percentile,2008,Days,
198,Provincial,New Brunswick,Provincial,Bladder Cancer Surgery,90th Percentile,2008,Days,
199,Provincial,New Brunswick,Provincial,Bladder Cancer Surgery,Volume,2008,Number of cases,
200,Provincial,New Brunswick,Provincial,Breast Cancer Surgery,50th Percentile,2008,Days,
201,Provincial,New Brunswick,Provincial,Breast Cancer Surgery,90th Percentile,2008,Days,
202,Provincial,New Brunswick,Provincial,Breast Cancer Surgery,Volume,2008,Number of cases,
203,Provincial,New Brunswick,Provincial,CABG,% Meeting Benchmark,2008,Proportion,95.0
204,Provincial,New Brunswick,Provincial,CABG,50th Percentile,2008,Days,3.0
205,Provincial,New Brunswick,Provincial,CABG,90th Percentile,2008,Days,131.0
206,Provincial,New Brunswick,Provincial,CABG,Volume,2008,Number of cases,214.0
207,Provincial,New Brunswick,Provincial,Cataract Surgery,% Meeting Benchmark,2008,Proportion,74.0
208,Provincial,New Brunswick,Provincial,Cataract Surgery,50th Percentile,2008,Days,57.0
209,Provincial,New Brunswick,Provincial,Cataract Surgery,90th Percentile,2008,Days,194.0
210,Provincial,New Brunswick,Provincial,Cataract Surgery,Volume,2008,Number of cases,4460.0
211,Provincial,New Brunswick,Provincial,Colorectal Cancer Surgery,50th Percentile,2008,Days,
212,Provincial,New Brunswick,Provincial,Colorectal Cancer Surgery,90th Percentile,2008,Days,
213,Provincial,New Brunswick,Provincial,Colorectal Cancer Surgery,Volume,2008,Number of cases,
214,Provincial,New Brunswick,Provincial,CT Scan,50th Percentile,2008,Days,
215,Provincial,New Brunswick,Provincial,CT Scan,90th Percentile,2008,Days,
216,Provincial,New Brunswick,Provincial,CT Scan,Volume,2008,Number of cases,
217,Provincial,New Brunswick,Provincial,Hip Fracture Repair,% Meeting Benchmark,2008,Proportion,
218,Provincial,New Brunswick,Provincial,Hip Fracture Repair,50th Percentile,2008,Hours,
219,Provincial,New Brunswick,Provincial,Hip Fracture Repair,90th Percentile,2008,Hours,
220,Provincial,New Brunswick,Provincial,Hip Fracture Repair,Volume,2008,Number of cases,
221,Provincial,New Brunswick,Provincial,Hip Fracture Repair/Emergency And Inpatient,% Meeting Benchmark,2008,Proportion,
222,Provincial,New Brunswick,Provincial,Hip Fracture Repair/Emergency And Inpatient,50th Percentile,2008,Hours,
223,Provincial,New Brunswick,Provincial,Hip Fracture Repair/Emergency And Inpatient,90th Percentile,2008,Hours,
224,Provincial,New Brunswick,Provincial,Hip Fracture Repair/Emergency And Inpatient,Volume,2008,Number of cases,
225,Provincial,New Brunswick,Provincial,Hip Replacement,% Meeting Benchmark,2008,Proportion,66.0
226,Provincial,New Brunswick,Provincial,Hip Replacement,50th Percentile,2008,Days,140.0
227,Provincial,New Brunswick,Provincial,Hip Replacement,90th Percentile,2008,Days,309.0
228,Provincial,New Brunswick,Provincial,Hip Replacement,Volume,2008,Number of cases,300.0
229,Provincial,New Brunswick,Provincial,Knee Replacement,% Meeting Benchmark,2008,Proportion,55.0
230,Provincial,New Brunswick,Provincial,Knee Replacement,50th Percentile,2008,Days,167.0
231,Provincial,New Brunswick,Provincial,Knee Replacement,90th Percentile,2008,Days,408.0
232,Provincial,New Brunswick,Provincial,Knee Replacement,Volume,2008,Number of cases,538.0
233,Provincial,New Brunswick,Provincial,Lung Cancer Surgery,50th Percentile,2008,Days,
234,Provincial,New Brunswick,Provincial,Lung Cancer Surgery,90th Percentile,2008,Days,
235,Provincial,New Brunswick,Provincial,Lung Cancer Surgery,Volume,2008,Number of cases,
236,Provincial,New Brunswick,Provincial,MRI Scan,50th Percentile,2008,Days,
237,Provincial,New Brunswick,Provincial,MRI Scan,90th Percentile,2008,Days,
238,Provincial,New Brunswick,Provincial,MRI Scan,Volume,2008,Number of cases,
239,Provincial,New Brunswick,Provincial,Prostate Cancer Surgery,50th Percentile,2008,Days,
240,Provincial,New Brunswick,Provincial,Prostate Cancer Surgery,90th Percentile,2008,Days,
241,Provincial,New Brunswick,Provincial,Prostate Cancer Surgery,Volume,2008,Number of cases,
242,Provincial,New Brunswick,Provincial,Radiation Therapy,% Meeting Benchmark,2008,Proportion,94.0
243,Provincial,New Brunswick,Provincial,Radiation Therapy,50th Percentile,2008,Days,
244,Provincial,New Brunswick,Provincial,Radiation Therapy,90th Percentile,2008,Days,
245,Provincial,New Brunswick,Provincial,Radiation Therapy,Volume,2008,Number of cases,
246,Provincial,Newfoundland And Labrador,Provincial,Bladder Cancer Surgery,50th Percentile,2008,Days,
247,Provincial,Newfoundland And Labrador,Provincial,Bladder Cancer Surgery,90th Percentile,2008,Days,
248,Provincial,Newfoundland And Labrador,Provincial,Bladder Cancer Surgery,Volume,2008,Number of cases,
249,Provincial,Newfoundland And Labrador,Provincial,Breast Cancer Surgery,50th Percentile,2008,Days,
250,Provincial,Newfoundland And Labrador,Provincial,Breast Cancer Surgery,90th Percentile,2008,Days,
251,Provincial,Newfoundland And Labrador,Provincial,Breast Cancer Surgery,Volume,2008,Number of cases,
252,Provincial,Newfoundland And Labrador,Provincial,CABG,% Meeting Benchmark,2008,Proportion,95.0
253,Provincial,Newfoundland And Labrador,Provincial,CABG,50th Percentile,2008,Days,
254,Provincial,Newfoundland And Labrador,Provincial,CABG,90th Percentile,2008,Days,
255,Provincial,Newfoundland And Labrador,Provincial,CABG,Volume,2008,Number of cases,210.0
256,Provincial,Newfoundland And Labrador,Provincial,Cataract Surgery,% Meeting Benchmark,2008,Proportion,
257,Provincial,Newfoundland And Labrador,Provincial,Cataract Surgery,50th Percentile,2008,Days,
258,Provincial,Newfoundland And Labrador,Provincial,Cataract Surgery,90th Percentile,2008,Days,
259,Provincial,Newfoundland And Labrador,Provincial,Cataract Surgery,Volume,2008,Number of cases,2079.0
260,Provincial,Newfoundland And Labrador,Provincial,Colorectal Cancer Surgery,50th Percentile,2008,Days,
261,Provincial,Newfoundland And Labrador,Provincial,Colorectal Cancer Surgery,90th Percentile,2008,Days,
262,Provincial,Newfoundland And Labrador,Provincial,Colorectal Cancer Surgery,Volume,2008,Number of cases,
263,Provincial,Newfoundland And Labrador,Provincial,CT Scan,50th Percentile,2008,Days,
264,Provincial,Newfoundland And Labrador,Provincial,CT Scan,90th Percentile,2008,Days,
265,Provincial,Newfoundland And Labrador,Provincial,CT Scan,Volume,2008,Number of cases,29890.0
266,Provincial,Newfoundland And Labrador,Provincial,Hip Fracture Repair,% Meeting Benchmark,2008,Proportion,
267,Provincial,Newfoundland And Labrador,Provincial,Hip Fracture Repair,50th Percentile,2008,Hours,
268,Provincial,Newfoundland And Labrador,Provincial,Hip Fracture Repair,90th Percentile,2008,Hours,
269,Provincial,Newfoundland And Labrador,Provincial,Hip Fracture Repair,Volume,2008,Number of cases,
270,Provincial,Newfoundland And Labrador,Provincial,Hip Fracture Repair/Emergency And Inpatient,% Meeting Benchmark,2008,Proportion,
271,Provincial,Newfoundland And Labrador,Provincial,Hip Fracture Repair/Emergency And Inpatient,50th Percentile,2008,Hours,
272,Provincial,Newfoundland And Labrador,Provincial,Hip Fracture Repair/Emergency And Inpatient,90th Percentile,2008,Hours,
273,Provincial,Newfoundland And Labrador,Provincial,Hip Fracture Repair/Emergency And Inpatient,Volume,2008,Number of cases,
274,Provincial,Newfoundland And Labrador,Provincial,Hip Replacement,% Meeting Benchmark,2008,Proportion,
275,Provincial,Newfoundland And Labrador,Provincial,Hip Replacement,50th Percentile,2008,Days,
276,Provincial,Newfoundland And Labrador,Provincial,Hip Replacement,90th Percentile,2008,Days,
277,Provincial,Newfoundland And Labrador,Provincial,Hip Replacement,Volume,2008,Number of cases,164.0
278,Provincial,Newfoundland And Labrador,Provincial,Knee Replacement,% Meeting Benchmark,2008,Proportion,
279,Provincial,Newfoundland And Labrador,Provincial,Knee Replacement,50th Percentile,2008,Days,
280,Provincial,Newfoundland And Labrador,Provincial,Knee Replacement,90th Percentile,2008,Days,
281,Provincial,Newfoundland And Labrador,Provincial,Knee Replacement,Volume,2008,Number of cases,287.0
282,Provincial,Newfoundland And Labrador,Provincial,Lung Cancer Surgery,50th Percentile,2008,Days,
283,Provincial,Newfoundland And Labrador,Provincial,Lung Cancer Surgery,90th Percentile,2008,Days,
284,Provincial,Newfoundland And Labrador,Provincial,Lung Cancer Surgery,Volume,2008,Number of cases,
285,Provincial,Newfoundland And Labrador,Provincial,MRI Scan,50th Percentile,2008,Days,
286,Provincial,Newfoundland And Labrador,Provincial,MRI Scan,90th Percentile,2008,Days,
287,Provincial,Newfoundland And Labrador,Provincial,MRI Scan,Volume,2008,Number of cases,5512.0
288,Provincial,Newfoundland And Labrador,Provincial,Prostate Cancer Surgery,50th Percentile,2008,Days,
