yhat,yhat_lower,yhat_upper,procedure,is_forecast,year
76.8726456349583,45.34746191537501,107.68000819734993,Hip Replacement,False,2010
81.74544106134132,50.91396010255807,112.85305767752801,Hip Replacement,False,2011
86.61823815330105,56.69648104577631,116.31984726098223,Hip Replacement,False,2012
91.50438729088688,58.628191585001865,121.79570010564632,Hip Replacement,False,2013
96.37719185307282,69.34869542918152,125.88660632350829,Hip Replacement,False,2014
101.25017183020452,71.6451169804326,131.2397641545128,Hip Replacement,False,2015
106.12809309402128,74.49885411007718,137.55738244601662,Hip Replacement,False,2016
111.02095229337645,80.78357649988631,142.16468927664405,Hip Replacement,False,2017
115.9012270556859,84.65481254077417,146.57778981699147,Hip Replacement,False,2018
120.78150507035836,90.91412089269807,149.69179564629113,Hip Replacement,False,2019
125.66178522766859,95.88096358345399,155.905332209302,Hip Replacement,False,2020
130.5554280033823,98.10787626302081,160.2602893450041,Hip Replacement,False,2021
135.43340702269435,105.80775023549478,164.07555958221667,Hip Replacement,False,2022
140.31138604200643,111.80074145786811,169.80023769749937,Hip Replacement,False,2023
145.18936506131848,113.83545068627329,178.26554339112954,Hip Replacement,False,2024
150.08070840671084,121.89818821932886,180.8827217017156,Hip Replacement,True,2025
154.9586874260229,124.0455772412866,183.35197490106634,Hip Replacement,True,2026
159.83666644533497,128.94733880125688,189.19638763970624,Hip Replacement,True,2027
90.75375263566738,52.507803406298365,128.1322993031528,Knee Replacement,False,2010
96.68588142150942,58.85892679984775,133.25296116319427,Knee Replacement,False,2011
102.61801030216316,63.04655875422491,139.78526535024457,Knee Replacement,False,2012
108.5663916773958,68.92154084490765,147.02298134145693,Knee Replacement,False,2013
114.49852059000496,79.24488558213453,151.33937256546008,Knee Replacement,False,2014
120.43276578844701,81.7226331610351,158.6391889031742,Knee Replacement,False,2015
126.37620116038306,89.58607619831322,164.86242861925072,Knee Replacement,False,2016
132.3409555773585,93.34957713092057,167.21914094135772,Knee Replacement,False,2017
138.28969248309386,101.23292250566466,174.2726926002454,Knee Replacement,False,2018
144.2398919418373,105.89624013303114,182.3899373067608,Knee Replacement,False,2019
150.1900913393923,111.4989508579641,186.67410534105542,Knee Replacement,False,2020
156.15659271491083,120.56845305615748,191.61081303514092,Knee Replacement,False,2021
162.10606387205127,123.67441078603686,198.02520642750235,Knee Replacement,False,2022
168.0555350291917,132.18669924194987,205.06448699827138,Knee Replacement,False,2023
174.00500618633214,137.62210464945363,214.91529233651858,Knee Replacement,False,2024
179.97077726445104,140.99041908163028,217.29612443172394,Knee Replacement,True,2025
185.92024842159142,151.25591216677952,220.7320005725092,Knee Replacement,True,2026
191.86971957873186,152.57601145789928,226.4212733757208,Knee Replacement,True,2027
